study_id,year,tier,interop_pattern,platform_stack,domain
ST-0815,2021,C,none mentioned,not specified,healthcare; government/public sector
ST-0816,2021,C,none mentioned,not specified,healthcare; finance/banking; supply chain; government/public sector; IoT/edge
ST-0818,2021,C,none mentioned,Ethereum,healthcare; IoT/edge
ST-0822,2021,B,none mentioned,Hyperledger Fabric; Ethereum; Bitcoin,healthcare; finance/banking; supply chain; government/public sector; identity/PKI; IoT/edge/CPS; education
ST-0827,2021,C,none mentioned,not specified,unclassified
ST-0838,2021,C,none mentioned,not specified,identity; IoT/edge
ST-0842,2024,A,none mentioned,Ethereum; Bitcoin,finance/banking; government/public sector; identity/PKI; IoT/edge/CPS; education; transportation/mobility
ST-0846,2021,B,none mentioned,Hyperledger Fabric,healthcare
ST-0847,2025,B,cross-chain bridge,Hyperledger Fabric,healthcare; finance/banking; supply chain; government/public sector; energy/utilities; identity/PKI; IoT/edge/CPS; education; agriculture
ST-0849,2025,B,none mentioned,Ethereum; Bitcoin,healthcare; finance/banking; supply chain; government/public sector; identity/PKI; IoT/edge/CPS; education; transportation/mobility
ST-0850,2025,B,interledger/IBC,Hyperledger Fabric; Bitcoin,finance/banking; supply chain; government/public sector; identity/PKI; education
ST-0850,2025,B,oracle,Hyperledger Fabric; Bitcoin,finance/banking; supply chain; government/public sector; identity/PKI; education
ST-0853,2022,B,none mentioned,not specified,healthcare; identity/PKI; IoT/edge/CPS; education; transportation/mobility
ST-0856,2023,B,API gateway,Hyperledger Fabric; Quorum; Ethereum; Bitcoin,healthcare; finance/banking; government/public sector; energy/utilities; identity/PKI; education
ST-0859,2023,B,none mentioned,Quorum; Ethereum,healthcare; finance/banking; government/public sector
ST-0860,2026,A,none mentioned,Ethereum,healthcare; finance/banking; supply chain; government/public sector; energy/utilities; identity/PKI; IoT/edge/CPS; education
ST-0862,2025,A,none mentioned,Ethereum; Bitcoin,healthcare; finance/banking; supply chain; government/public sector; energy/utilities; identity/PKI; education; agriculture
ST-0863,2022,A,none mentioned,Ethereum,healthcare
